timestamp,city,temperature,description
2025-12-09T10:07:57.197Z,Wisbech,12.07,overcast clouds
2025-12-09T10:15:54.205Z,Wisbech,12.07,overcast clouds
2025-12-09T10:28:53.322Z,Wisbech,12.24,overcast clouds
2025-12-09T10:44:40.271Z,Wisbech,12.81,overcast clouds
2025-12-09T11:19:36.673Z,Wisbech,12.99,overcast clouds
2025-12-09T12:32:32.178Z,Wisbech,13.15,overcast clouds
2025-12-09T12:32:32.180Z,Wisbech,13.15,overcast clouds
2025-12-09T12:45:57.605Z,Wisbech,13.15,overcast clouds
2025-12-09T12:45:57.607Z,Wisbech,13.15,overcast clouds
2025-12-09T14:23:44.098Z,Wisbech,14.21,overcast clouds
2025-12-09T14:23:44.100Z,Wisbech,14.21,overcast clouds
2025-12-09T16:31:38.084Z,Wisbech,14.28,overcast clouds
2025-12-09T16:31:38.086Z,Wisbech,14.28,overcast clouds
2025-12-09T18:28:39.241Z,Wisbech,13.93,overcast clouds
2025-12-09T18:28:39.243Z,Wisbech,13.93,overcast clouds
2025-12-09T20:21:37.310Z,Wisbech,13.03,broken clouds
2025-12-09T20:21:37.312Z,Wisbech,13.03,broken clouds
2025-12-09T22:20:48.945Z,Wisbech,11.77,broken clouds
2025-12-09T22:20:48.946Z,Wisbech,11.77,broken clouds
2025-12-10T01:44:55.597Z,Wisbech,9.94,overcast clouds
2025-12-10T01:44:55.600Z,Wisbech,9.94,overcast clouds
2025-12-10T03:23:12.796Z,Wisbech,8.96,overcast clouds
2025-12-10T03:23:12.798Z,Wisbech,8.96,overcast clouds
2025-12-10T04:33:47.151Z,Wisbech,9.16,overcast clouds
2025-12-10T04:33:47.153Z,Wisbech,9.16,overcast clouds
2025-12-10T06:34:31.491Z,Wisbech,9.23,broken clouds
2025-12-10T06:34:31.493Z,Wisbech,9.23,broken clouds
2025-12-10T08:30:43.110Z,Wisbech,9.25,scattered clouds
2025-12-10T08:30:43.111Z,Wisbech,9.25,scattered clouds
2025-12-10T10:26:12.416Z,Wisbech,10.19,broken clouds
2025-12-10T10:26:12.417Z,Wisbech,10.19,broken clouds
2025-12-10T12:46:27.570Z,Wisbech,12.14,scattered clouds
2025-12-10T12:46:27.572Z,Wisbech,12.14,scattered clouds
2025-12-10T14:23:58.036Z,Wisbech,12.09,few clouds
2025-12-10T14:23:58.037Z,Wisbech,12.09,few clouds
2025-12-10T16:29:21.225Z,Wisbech,10.75,scattered clouds
2025-12-10T16:29:21.227Z,Wisbech,10.75,scattered clouds
2025-12-10T18:31:30.812Z,Wisbech,9.18,scattered clouds
2025-12-10T18:31:30.814Z,Wisbech,9.18,scattered clouds
2025-12-10T20:26:06.562Z,Wisbech,9.16,broken clouds
2025-12-10T20:26:06.564Z,Wisbech,9.16,broken clouds
2025-12-10T22:20:59.434Z,Wisbech,9.18,overcast clouds
2025-12-10T22:20:59.435Z,Wisbech,9.18,overcast clouds
2025-12-11T01:45:33.579Z,Wisbech,7.95,overcast clouds
2025-12-11T01:45:33.580Z,Wisbech,7.95,overcast clouds
2025-12-11T03:25:15.281Z,Wisbech,7.81,overcast clouds
2025-12-11T03:25:15.284Z,Wisbech,7.81,overcast clouds
2025-12-11T04:35:27.771Z,Wisbech,6.95,overcast clouds
2025-12-11T04:35:27.772Z,Wisbech,6.95,overcast clouds
2025-12-11T06:35:12.598Z,Wisbech,6.98,overcast clouds
2025-12-11T06:35:12.599Z,Wisbech,6.98,overcast clouds
2025-12-11T08:31:14.885Z,Wisbech,7.21,broken clouds
2025-12-11T08:31:14.887Z,Wisbech,7.21,broken clouds
2025-12-11T10:26:00.253Z,Wisbech,9.38,broken clouds
2025-12-11T10:26:00.255Z,Wisbech,9.38,broken clouds
2025-12-11T12:48:47.983Z,Wisbech,10.26,overcast clouds
2025-12-11T12:48:47.985Z,Wisbech,10.26,overcast clouds
2025-12-11T14:22:51.046Z,Wisbech,10.61,few clouds
2025-12-11T14:22:51.048Z,Wisbech,10.61,few clouds
2025-12-11T16:32:16.750Z,Wisbech,8.91,few clouds
2025-12-11T16:32:16.752Z,Wisbech,8.91,few clouds
2025-12-11T18:31:47.393Z,Wisbech,8.9,overcast clouds
2025-12-11T18:31:47.394Z,Wisbech,8.9,overcast clouds
2025-12-11T20:25:06.531Z,Wisbech,8.9,overcast clouds
2025-12-11T20:25:06.533Z,Wisbech,8.9,overcast clouds
2025-12-11T22:21:08.332Z,Wisbech,8.91,overcast clouds
2025-12-11T22:21:08.334Z,Wisbech,8.91,overcast clouds
2025-12-12T01:44:59.741Z,Wisbech,9.62,overcast clouds
2025-12-12T01:44:59.743Z,Wisbech,9.62,overcast clouds
2025-12-12T03:23:54.768Z,Wisbech,9.8,overcast clouds
2025-12-12T03:23:54.770Z,Wisbech,9.8,overcast clouds
2025-12-12T04:34:08.469Z,Wisbech,9.19,overcast clouds
2025-12-12T04:34:08.472Z,Wisbech,9.19,overcast clouds
2025-12-12T06:34:26.882Z,Wisbech,9.19,overcast clouds
2025-12-12T06:34:26.884Z,Wisbech,9.19,overcast clouds
2025-12-12T08:31:07.121Z,Wisbech,9.37,overcast clouds
2025-12-12T08:31:07.123Z,Wisbech,9.37,overcast clouds
2025-12-12T10:24:11.673Z,Wisbech,10.27,overcast clouds
2025-12-12T10:24:11.674Z,Wisbech,10.27,overcast clouds
2025-12-12T12:45:27.797Z,Wisbech,11.15,overcast clouds
2025-12-12T12:45:27.800Z,Wisbech,11.15,overcast clouds
2025-12-12T14:20:23.721Z,Wisbech,11.46,overcast clouds
2025-12-12T14:20:23.745Z,Wisbech,11.46,overcast clouds
2025-12-12T16:27:13.885Z,Wisbech,10.67,overcast clouds
2025-12-12T16:27:13.887Z,Wisbech,10.67,overcast clouds
2025-12-12T18:33:02.152Z,Wisbech,8.26,overcast clouds
2025-12-12T18:33:02.411Z,Wisbech,8.26,overcast clouds
2025-12-12T20:24:18.441Z,Wisbech,6.36,overcast clouds
2025-12-12T20:24:18.443Z,Wisbech,6.36,overcast clouds
2025-12-12T22:20:32.325Z,Wisbech,5.27,overcast clouds
